count,route_action,speed_action,speed_reason,commentary_template
202138,FOLLOW_ROUTE,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Maintain the reduced speed to stay behind the <OBJECT>.
201816,FOLLOW_ROUTE,MAINTAIN_REDUCED_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Maintain the reduced speed to stay behind the <OBJECT> in <DISTANCE>.
100200,FOLLOW_ROUTE,REMAIN_STOPPED,TRAFFIC_LIGHT_RED,Follow the route. Remain stopped to stay behind the <OBJECT> that is stopped because of a red traffic light.
99630,FOLLOW_ROUTE,REMAIN_STOPPED,TRAFFIC_LIGHT_RED,Follow the route. Remain stopped to stay behind the <OBJECT> at <DISTANCE> that is stopped because of a red traffic light.
91151,FOLLOW_ROUTE,INCREASE_SPEED,NONE_OR_UNKNOWN,Follow the route. Accelerate to drive with the target speed.
86986,FOLLOW_ROUTE,INCREASE_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Accelerate to follow the <OBJECT> in <DISTANCE>.
86962,FOLLOW_ROUTE,INCREASE_SPEED,LEAD_VEHICLE_FOLLOW,Follow the route. Accelerate to follow the <OBJECT>.
81678,FOLLOW_ROUTE,SLOW_DOWN,LEAD_VEHICLE_FOLLOW,Follow the route. Decelerate to stay behind the <OBJECT> in <DISTANCE>.
81451,FOLLOW_ROUTE,SLOW_DOWN,LEAD_VEHICLE_FOLLOW,Follow the route. Decelerate to stay behind the <OBJECT>.
80455,FOLLOW_ROUTE,REMAIN_STOPPED,LEAD_VEHICLE_FOLLOW,Follow the route. Remain stopped to stay behind the <OBJECT>.
80293,FOLLOW_ROUTE,REMAIN_STOPPED,LEAD_VEHICLE_FOLLOW,Follow the route. Remain stopped to stay behind the <OBJECT> in <DISTANCE>.
67231,FOLLOW_ROUTE,MAINTAIN_SPEED,NONE_OR_UNKNOWN,Follow the route. Maintain your current speed.
53761,FOLLOW_ROUTE,MAINTAIN_REDUCED_SPEED,NONE_OR_UNKNOWN,Follow the route. Maintain the reduced speed.
49947,FOLLOW_ROUTE,REMAIN_STOPPED,LEAD_VEHICLE_FOLLOW,Follow the route. Remain stopped due to the <OBJECT>.
49729,FOLLOW_ROUTE,REMAIN_STOPPED,LEAD_VEHICLE_FOLLOW,Follow the route. Remain stopped due to the <OBJECT> in <DISTANCE>.
38227,FOLLOW_ROUTE,SLOW_DOWN,NONE_OR_UNKNOWN,Follow the route. Decelerate to drive with the target speed.
31063,GO_AROUND,UNKNOWN,ACCIDENT,Avoid the accident on your lane. Wait for a gap in the traffic before changing lanes to the lane with oncoming traffic.
22832,GO_AROUND,UNKNOWN,VEHICLE,Go around the <OBJECT>. Wait for a gap in the traffic before changing lanes to the lane with oncoming traffic.
18652,OTHER,REMAIN_STOPPED,VEHICLE,Turn right. Remain stopped due to the <OBJECT> in <DISTANCE>.
18577,OTHER,REMAIN_STOPPED,VEHICLE,Turn right. Remain stopped due to the <OBJECT>.
15302,FOLLOW_ROUTE,INCREASE_SPEED,NONE_OR_UNKNOWN,Follow the route. Accelerate to reach the speed limit.
14080,FOLLOW_ROUTE,MAINTAIN_REDUCED_SPEED,NONE_OR_UNKNOWN,Follow the route. Maintain the reduced speed to drive according to the speed limit.
12978,FOLLOW_ROUTE,SLOW_DOWN,LEAD_VEHICLE_FOLLOW,Follow the route. Decelerate due to the <OBJECT>.
12940,FOLLOW_ROUTE,MAINTAIN_REDUCED_SPEED,JUNCTION_NOTICE,Follow the route. Maintain the reduced speed to drive through the junction.
12855,FOLLOW_ROUTE,SLOW_DOWN,LEAD_VEHICLE_FOLLOW,Follow the route. Decelerate due to the <OBJECT> in <DISTANCE>.
12366,WAIT_GAP,UNKNOWN,VEHICLE,Steer clear of the parked vehicle. Wait for a gap in the traffic before changing lanes.
11898,FOLLOW_ROUTE,INCREASE_SPEED,JUNCTION_NOTICE,Follow the route. Accelerate to drive through the junction.
10873,WAIT_GAP,UNKNOWN,VEHICLE,Steer clear of the parked vehicle. Wait for a gap in the traffic before changing lanes to the lane with oncoming traffic.
10824,FOLLOW_ROUTE,SLOW_DOWN,LEAD_VEHICLE_FOLLOW,Follow the route. Decelerate due to the <OBJECT> intersecting your path.
10494,OTHER,REMAIN_STOPPED,LEAD_VEHICLE_FOLLOW,Turn left. Remain stopped to stay behind the <OBJECT>.
10225,OTHER,REMAIN_STOPPED,LEAD_VEHICLE_FOLLOW,Turn left. Remain stopped to stay behind the <OBJECT> in <DISTANCE>.
10022,WAIT_GAP,UNKNOWN,NONE_OR_UNKNOWN,Exit the parking lot. Wait for a gap in the traffic before changing lanes.
8597,FOLLOW_ROUTE,SLOW_DOWN,TRAFFIC_LIGHT_RED,Follow the route. Decelerate to stay behind the <OBJECT> at <DISTANCE> that is slowing down because of a red traffic light.
8455,FOLLOW_ROUTE,SLOW_DOWN,TRAFFIC_LIGHT_RED,Follow the route. Decelerate to stay behind the <OBJECT> that is slowing down because of a red traffic light.
8071,OTHER,REMAIN_STOPPED,VEHICLE,Turn left. Remain stopped due to the <OBJECT>.
7945,OTHER,REMAIN_STOPPED,VEHICLE,Turn left. Remain stopped due to the <OBJECT> in <DISTANCE>.
7822,FOLLOW_ROUTE,SLOW_DOWN,NONE_OR_UNKNOWN,Follow the route. Decelerate to drive according to the speed limit.
7698,GO_AROUND,INCREASE_SPEED,NONE_OR_UNKNOWN,Return to your original route after avoiding the obstacle. Accelerate to drive with the target speed.
6327,OTHER,INCREASE_SPEED,JUNCTION_NOTICE,Turn left. Accelerate to drive through the junction.
5748,OTHER,INCREASE_SPEED,LEAD_VEHICLE_FOLLOW,Turn right. Accelerate to follow the <OBJECT>.
5525,GO_AROUND,UNKNOWN,VEHICLE,Avoid the vehicle that is opening its door. Wait for a gap in the traffic before changing lanes to the lane with oncoming traffic.
5520,OTHER,INCREASE_SPEED,LEAD_VEHICLE_FOLLOW,Turn right. Accelerate to follow the <OBJECT> in <DISTANCE>.
5379,FOLLOW_ROUTE,INCREASE_SPEED,TRAFFIC_LIGHT_GREEN,Follow the route. Accelerate because the traffic light is green but pay attention to the vehicle coming towards the junction.
